area_code,area_name,gender,age,bmi,wc,fpg,hba1c,sbp,dbp,tg,hdl,ldl,ast,alt,ggtp,hb,nfpg,cre,egfr
101,北海道_南渡島,m,40,24.9,86.0,96.4,5.5,125.6,78.0,140.7,57.1,128.4,26.2,34.9,54.7,15.1,95.2,0.9,81.2
101,北海道_南渡島,m,45,25.1,86.9,98.7,5.6,127.1,79.6,145.8,57.3,129.5,26.2,33.4,57.0,15.1,98.0,0.9,77.4
101,北海道_南渡島,m,50,24.9,87.1,101.9,5.7,129.0,81.0,146.8,58.3,127.5,26.3,31.7,59.0,14.9,100.7,0.9,75.6
101,北海道_南渡島,m,55,24.7,86.8,105.0,5.8,132.0,81.8,145.4,59.0,124.3,26.1,29.3,59.7,14.9,102.1,0.9,74.0
101,北海道_南渡島,m,60,24.4,86.3,106.5,5.8,134.3,81.1,143.2,59.5,120.1,26.3,27.3,58.6,14.9,105.2,1.0,70.9
101,北海道_南渡島,m,65,24.3,86.5,107.9,5.8,135.9,79.3,141.8,58.3,117.7,25.9,25.9,53.7,15.0,111.5,0.9,71.2
101,北海道_南渡島,m,70,24.1,86.3,108.6,5.8,136.7,77.0,130.9,57.9,115.5,25.5,23.9,46.4,14.8,127.3,0.9,65.6
101,北海道_南渡島,f,40,22.9,78.7,90.5,5.4,117.3,72.4,84.6,69.0,113.5,19.5,17.6,24.3,12.9,89.6,0.6,84.8
101,北海道_南渡島,f,45,23.2,79.7,92.6,5.4,120.3,74.4,92.2,69.5,119.3,20.2,18.9,27.5,13.0,92.1,0.6,80.8
101,北海道_南渡島,f,50,23.1,80.4,93.7,5.5,123.4,75.6,98.0,71.7,127.9,22.3,21.5,32.2,13.1,94.1,0.6,78.7
101,北海道_南渡島,f,55,22.7,80.4,94.7,5.6,125.4,75.9,105.1,72.3,132.4,23.0,22.0,34.0,13.6,101.5,0.6,75.4
101,北海道_南渡島,f,60,22.9,81.0,96.9,5.7,128.7,76.3,105.9,71.7,130.4,23.6,22.0,34.7,13.4,99.3,0.6,72.7
101,北海道_南渡島,f,65,22.9,81.1,96.5,5.7,132.0,75.8,110.1,69.6,127.6,23.5,20.8,29.8,12.8,104.0,0.7,70.8
101,北海道_南渡島,f,70,22.9,81.4,97.1,5.7,134.7,75.2,112.8,67.1,123.4,23.4,19.7,26.9,13.6,112.0,0.7,68.0
102,北海道_南檜山,m,40,25.6,87.8,100.8,5.6,125.8,78.2,148.2,55.4,124.7,27.8,37.9,61.7,15.2,103.9,0.8,80.8
102,北海道_南檜山,m,45,25.2,87.0,100.3,5.5,129.1,80.9,156.5,56.5,128.6,26.5,35.2,59.0,15.0,98.8,0.9,77.2
102,北海道_南檜山,m,50,25.6,88.1,104.8,5.7,130.2,82.4,141.2,57.5,123.7,26.8,32.2,69.7,15.2,109.5,0.9,75.3
102,北海道_南檜山,m,55,25.2,87.6,107.1,5.7,131.9,81.9,147.1,57.2,123.5,25.8,28.9,66.7,14.9,110.5,0.9,72.0
102,北海道_南檜山,m,60,25.0,87.0,109.5,5.8,136.3,80.9,128.2,59.1,118.4,26.5,27.9,67.1,15.0,136.1,0.9,72.7
102,北海道_南檜山,m,65,24.5,86.4,108.2,5.7,135.6,78.7,142.3,55.6,113.7,27.0,26.5,57.9,14.9,121.4,0.9,67.9
102,北海道_南檜山,m,70,24.6,86.6,108.0,5.9,137.7,76.4,130.0,55.6,112.1,25.5,23.2,44.3,0.0,120.9,0.7,86.4
102,北海道_南檜山,f,40,23.6,80.2,93.5,5.4,119.3,74.5,90.8,68.7,114.0,19.5,17.8,25.5,13.0,89.7,0.6,83.2
102,北海道_南檜山,f,45,23.7,81.4,94.1,5.5,120.6,75.2,83.6,68.9,121.3,21.6,21.0,28.1,13.3,109.9,0.6,82.3
102,北海道_南檜山,f,50,23.6,81.6,96.2,5.6,124.8,76.6,97.5,69.4,127.5,22.0,20.4,33.8,13.2,103.4,0.6,76.6
102,北海道_南檜山,f,55,23.2,81.4,98.2,5.6,123.6,74.5,114.3,68.8,127.0,23.6,22.4,40.4,13.8,104.6,0.6,74.0
102,北海道_南檜山,f,60,23.5,82.3,97.0,5.7,129.4,76.8,111.6,66.6,125.3,23.0,21.7,32.3,13.6,111.5,0.6,73.8
102,北海道_南檜山,f,65,23.5,82.0,96.3,5.6,130.7,75.6,106.7,66.9,124.7,24.0,21.2,30.3,14.2,115.1,0.7,72.0
102,北海道_南檜山,f,70,24.2,83.2,98.3,5.7,133.0,74.1,114.2,63.0,119.4,23.7,20.0,26.2,0.0,106.4,0.5,82.3
103,北海道_北渡島檜山,m,40,25.7,87.2,97.0,5.5,126.2,79.6,131.3,58.1,128.6,25.5,34.3,52.1,15.3,95.1,0.9,79.2
103,北海道_北渡島檜山,m,45,25.6,87.5,101.1,5.6,127.7,80.9,144.9,57.5,128.6,26.3,34.7,57.0,15.2,97.9,0.9,75.8
103,北海道_北渡島檜山,m,50,25.6,87.5,104.2,5.8,130.9,83.0,153.4,59.1,126.5,26.4,33.3,56.2,15.1,106.5,0.9,74.8
103,北海道_北渡島檜山,m,55,24.8,86.0,106.5,5.8,131.3,82.3,139.3,60.7,122.7,25.8,29.1,59.9,15.1,109.9,0.9,71.3
103,北海道_北渡島檜山,m,60,24.9,86.4,105.1,5.8,135.6,83.0,132.6,60.7,119.5,24.9,25.9,50.3,15.1,110.3,0.9,71.0
103,北海道_北渡島檜山,m,65,24.8,87.0,106.0,5.9,137.1,79.8,119.2,59.6,116.4,26.1,26.2,48.5,16.1,108.8,0.9,69.9
103,北海道_北渡島檜山,m,70,24.6,86.3,105.0,5.9,135.6,76.8,117.3,58.6,112.8,24.9,24.2,39.0,13.6,119.2,0.9,66.4
103,北海道_北渡島檜山,f,40,23.9,79.7,91.6,5.4,118.5,73.9,87.7,67.3,113.8,18.7,17.9,25.4,12.9,86.8,0.6,83.8
103,北海道_北渡島檜山,f,45,23.4,79.5,92.9,5.4,120.6,74.3,88.8,69.2,119.9,20.4,19.1,28.1,12.9,100.5,0.6,79.4
103,北海道_北渡島檜山,f,50,23.3,80.1,94.1,5.6,125.6,77.3,96.2,71.8,127.8,22.8,22.0,29.2,13.5,104.5,0.7,76.1
103,北海道_北渡島檜山,f,55,23.4,80.6,96.8,5.7,126.1,75.5,110.6,70.4,131.4,22.6,21.7,31.6,13.8,105.2,0.7,73.9
103,北海道_北渡島檜山,f,60,23.3,80.9,98.7,5.8,128.8,75.8,104.3,70.3,128.8,23.8,21.7,31.2,13.6,105.9,0.6,74.5
103,北海道_北渡島檜山,f,65,23.5,82.0,96.7,5.7,132.5,74.7,101.6,68.8,124.4,24.2,21.6,29.0,14.4,100.1,0.7,64.5
103,北海道_北渡島檜山,f,70,23.4,82.2,97.5,5.7,132.5,74.0,104.6,67.7,121.5,23.8,20.0,26.5,13.7,105.7,0.7,63.6
104,北海道_札幌,m,40,24.4,84.9,95.4,5.4,121.8,75.9,126.0,58.0,127.6,25.4,33.0,48.4,15.0,94.3,0.9,80.1
104,北海道_札幌,m,45,24.7,85.8,98.4,5.5,123.9,78.3,132.8,58.2,128.9,25.8,32.7,52.9,15.0,96.3,0.9,76.8
104,北海道_札幌,m,50,24.8,86.5,101.2,5.6,125.9,80.0,134.1,58.6,127.9,25.9,31.1,54.9,15.0,100.6,0.9,73.8
104,北海道_札幌,m,55,24.6,86.5,103.9,5.7,128.1,80.9,132.4,59.7,124.6,25.9,29.2,55.4,14.9,102.6,0.9,72.1
104,北海道_札幌,m,60,24.4,86.3,105.6,5.8,130.4,80.5,129.5,60.0,121.0,25.8,27.4,53.5,14.8,106.5,0.9,70.1
104,北海道_札幌,m,65,24.2,86.2,106.6,5.8,132.6,79.1,125.3,59.9,118.3,25.8,25.8,49.9,14.7,109.5,0.9,67.9
104,北海道_札幌,m,70,24.0,86.1,107.4,5.9,134.4,77.1,119.5,59.8,114.7,25.6,24.2,44.8,14.7,115.9,0.9,66.4
104,北海道_札幌,f,40,22.2,77.0,89.8,5.3,112.7,69.5,77.0,70.2,112.7,19.3,17.0,22.9,12.7,90.0,0.6,83.0
104,北海道_札幌,f,45,22.5,78.0,91.0,5.4,115.9,71.4,81.6,71.3,117.9,20.2,17.9,25.4,12.8,90.9,0.6,79.2
104,北海道_札幌,f,50,22.6,79.1,92.8,5.5,118.9,73.2,89.1,73.6,127.3,22.1,20.3,30.0,13.2,92.4,0.7,75.7
104,北海道_札幌,f,55,22.4,79.4,94.7,5.6,121.0,74.0,94.8,74.5,132.3,23.3,21.7,32.5,13.4,93.9,0.7,73.1
104,北海道_札幌,f,60,22.4,80.0,96.0,5.6,124.5,74.6,97.1,73.9,131.4,23.6,21.4,31.8,13.4,95.9,0.7,71.0
104,北海道_札幌,f,65,22.7,80.9,97.3,5.7,129.5,75.0,101.2,72.0,129.8,23.6,20.6,30.1,13.2,98.7,0.7,70.8
104,北海道_札幌,f,70,22.9,81.6,98.0,5.8,132.6,74.4,103.8,69.6,125.2,24.0,20.1,28.1,13.5,104.5,0.7,68.4
105,北海道_後志,m,40,25.0,85.6,97.3,5.5,123.8,76.9,133.5,58.0,128.8,25.7,33.8,50.7,15.4,94.7,0.8,81.5
105,北海道_後志,m,45,25.2,86.6,99.4,5.6,126.5,79.9,137.6,58.3,129.1,26.5,34.0,56.8,15.4,97.1,0.9,77.4
105,北海道_後志,m,50,25.0,86.5,102.0,5.7,128.3,81.1,140.6,59.4,127.8,26.5,31.7,57.3,15.2,104.2,0.9,76.1
105,北海道_後志,m,55,24.8,86.7,104.7,5.7,130.1,81.4,137.0,59.6,125.9,26.1,29.7,56.5,15.1,105.3,0.9,72.9
105,北海道_後志,m,60,24.6,86.4,106.3,5.8,132.9,81.1,135.7,60.1,120.4,26.3,27.8,56.5,14.9,107.0,0.9,70.7
105,北海道_後志,m,65,24.5,86.5,106.4,5.8,135.0,79.5,130.0,59.8,117.6,26.2,26.0,50.4,14.9,111.1,0.8,72.4
105,北海道_後志,m,70,24.1,86.1,106.8,5.9,135.3,76.8,126.8,58.7,113.2,26.1,24.4,47.8,13.7,115.2,0.9,69.5
105,北海道_後志,f,40,22.6,77.5,90.6,5.3,115.4,70.8,81.1,70.3,113.8,19.4,17.4,23.8,12.9,94.8,0.6,85.5
105,北海道_後志,f,45,23.0,79.0,92.0,5.4,119.0,72.8,87.6,71.0,118.6,20.7,19.0,27.2,12.8,92.7,0.6,82.4
105,北海道_後志,f,50,23.1,80.0,93.7,5.5,122.4,74.6,95.7,72.1,128.3,22.6,21.7,30.8,13.3,93.8,0.6,76.2
105,北海道_後志,f,55,22.8,79.8,95.7,5.6,124.0,75.1,100.7,73.1,132.6,23.5,22.2,32.9,13.6,97.1,0.7,73.0
105,北海道_後志,f,60,22.9,80.6,96.6,5.6,127.3,75.5,103.3,72.8,131.2,23.7,21.9,32.9,13.6,99.2,0.6,73.2
105,北海道_後志,f,65,22.9,81.0,97.3,5.7,131.5,75.8,107.8,70.7,128.3,23.4,20.3,29.2,13.0,100.4,0.7,67.0
105,北海道_後志,f,70,23.1,81.6,98.2,5.7,134.0,75.0,113.3,68.1,124.5,23.7,20.0,27.6,13.1,102.7,0.7,67.0
106,北海道_南空知,m,40,25.1,85.9,97.2,5.5,125.4,77.7,132.9,57.8,128.9,26.3,35.3,49.9,15.4,99.4,0.9,80.3
106,北海道_南空知,m,45,25.3,86.6,99.0,5.6,127.0,80.0,138.0,58.4,129.3,26.2,33.5,53.6,15.3,105.3,0.9,77.9
106,北海道_南空知,m,50,25.2,86.9,101.3,5.7,128.8,81.2,137.0,58.6,127.5,26.2,31.4,54.4,15.3,107.0,0.9,75.0
106,北海道_南空知,m,55,24.8,86.7,102.6,5.7,130.4,81.3,135.4,59.9,122.8,25.7,28.4,57.0,15.2,108.2,0.9,73.4
106,北海道_南空知,m,60,24.6,86.3,106.1,5.9,133.2,81.5,135.6,60.2,119.2,25.8,27.4,51.6,14.9,111.1,0.9,71.5
106,北海道_南空知,m,65,24.5,86.6,106.5,5.9,135.5,80.2,128.9,59.6,115.3,26.1,26.1,48.6,15.2,118.2,0.9,71.4
106,北海道_南空知,m,70,24.1,85.8,107.2,5.9,135.8,77.7,124.4,59.0,111.0,25.5,23.8,42.3,16.5,124.8,0.8,70.3
106,北海道_南空知,f,40,23.1,78.7,91.2,5.4,117.3,71.5,85.7,68.7,113.7,19.6,17.8,24.5,13.0,91.3,0.6,82.7
106,北海道_南空知,f,45,23.2,79.2,91.9,5.4,119.9,73.0,86.6,69.4,118.7,20.2,18.2,26.0,12.8,96.4,0.6,79.3
106,北海道_南空知,f,50,23.1,80.2,92.9,5.6,122.6,74.4,94.3,72.3,127.1,22.3,20.8,29.4,13.4,97.1,0.6,77.2
106,北海道_南空知,f,55,23.0,80.4,95.5,5.6,124.8,75.0,101.4,73.2,130.7,23.7,22.4,33.2,13.4,98.7,0.6,74.7
106,北海道_南空知,f,60,23.2,81.2,96.2,5.7,128.4,75.8,102.6,71.9,128.1,23.9,22.0,32.4,13.3,98.7,0.6,72.8
106,北海道_南空知,f,65,23.2,81.9,97.3,5.8,131.4,75.6,106.7,70.2,124.0,24.3,21.7,28.9,14.5,106.4,0.6,72.5
106,北海道_南空知,f,70,23.2,81.9,97.8,5.8,134.5,74.9,105.6,68.8,118.3,24.3,20.2,26.8,0.0,110.3,0.6,73.2
107,北海道_中空知,m,40,25.0,85.9,97.2,5.5,125.9,78.8,149.1,57.0,127.4,26.2,33.6,52.1,15.1,97.3,0.9,77.7
107,北海道_中空知,m,45,25.2,86.9,99.5,5.6,128.9,81.7,144.2,57.6,126.6,26.2,33.9,56.9,15.2,101.8,0.9,75.3
107,北海道_中空知,m,50,25.2,87.2,102.4,5.7,130.8,82.9,144.7,58.8,127.9,25.9,31.3,58.1,15.0,107.7,0.9,73.8
107,北海道_中空知,m,55,24.9,87.0,106.8,5.8,132.5,82.8,138.4,59.4,123.1,26.0,29.3,57.0,14.9,104.9,0.9,70.6
107,北海道_中空知,m,60,24.6,86.4,108.0,5.9,135.2,82.3,134.5,60.4,119.4,26.8,27.6,54.4,14.9,111.6,0.9,70.0
107,北海道_中空知,m,65,24.5,86.8,108.5,6.0,137.0,80.7,136.4,59.3,114.3,26.2,26.4,49.1,14.5,114.6,1.0,67.4
107,北海道_中空知,m,70,24.1,86.5,108.3,6.0,136.9,77.9,127.1,58.1,111.7,26.0,24.3,46.0,13.7,128.3,0.9,64.8
107,北海道_中空知,f,40,22.9,77.9,91.8,5.4,118.0,72.8,87.1,69.0,115.7,19.6,17.9,24.5,12.5,89.8,0.6,81.2
107,北海道_中空知,f,45,23.2,79.0,93.0,5.5,121.1,74.6,90.0,69.7,118.6,19.8,18.1,25.9,12.9,95.9,0.7,76.8
107,北海道_中空知,f,50,23.4,80.3,94.9,5.6,125.0,76.4,99.5,71.6,127.6,22.4,21.8,31.5,13.2,98.6,0.7,75.3
107,北海道_中空知,f,55,23.1,80.4,96.2,5.6,125.9,75.8,105.1,72.4,133.1,23.2,22.5,34.0,13.5,97.0,0.7,71.7
107,北海道_中空知,f,60,23.0,80.9,97.5,5.7,129.7,77.0,105.4,72.2,129.5,24.2,22.2,33.2,13.4,104.9,0.7,69.8
107,北海道_中空知,f,65,23.3,82.3,98.3,5.8,133.1,76.4,110.5,69.3,125.6,23.8,21.1,29.0,12.8,110.1,0.7,65.2
107,北海道_中空知,f,70,23.2,82.3,100.1,5.8,135.2,75.0,110.7,68.2,120.7,24.5,20.9,26.9,13.0,109.5,0.7,64.7
108,北海道_北空知,m,40,24.8,85.2,98.9,5.7,125.0,78.7,129.7,55.9,125.7,26.9,37.2,52.9,15.2,105.1,0.9,77.9
108,北海道_北空知,m,45,25.5,87.0,99.1,5.7,127.5,81.5,143.2,56.2,128.9,26.6,33.9,52.9,15.2,106.6,0.9,74.6
108,北海道_北空知,m,50,25.3,87.2,104.4,5.8,128.0,81.6,148.5,57.2,126.5,26.4,32.0,56.3,15.1,101.5,0.9,71.9
108,北海道_北空知,m,55,25.1,87.0,105.1,5.8,128.8,81.6,134.6,59.2,122.7,25.4,28.9,51.7,14.8,104.3,0.9,71.1
108,北海道_北空知,m,60,24.8,86.9,109.5,6.0,131.6,81.2,131.5,58.0,117.7,25.0,27.4,55.1,14.4,99.7,0.9,69.2
108,北海道_北空知,m,65,24.6,86.6,105.7,5.9,133.3,80.3,124.6,58.5,115.5,25.7,26.3,47.8,14.7,123.1,0.9,70.3
108,北海道_北空知,m,70,24.0,85.5,104.8,5.9,134.1,77.6,117.2,58.8,113.6,25.5,24.3,40.5,16.2,109.1,1.0,61.5
108,北海道_北空知,f,40,23.2,78.9,93.2,5.4,117.7,71.1,82.4,68.8,112.5,18.5,16.7,22.7,13.0,92.2,0.6,80.5
108,北海道_北空知,f,45,23.1,79.6,93.7,5.5,120.6,74.1,82.0,70.1,116.0,19.6,18.8,24.8,12.7,109.5,0.6,78.0
108,北海道_北空知,f,50,22.8,79.2,94.6,5.6,123.8,75.4,92.2,72.4,126.4,21.9,20.8,29.8,13.3,105.5,0.7,73.2
108,北海道_北空知,f,55,23.0,80.6,97.3,5.8,123.7,75.5,96.2,74.9,128.2,22.1,21.1,32.1,13.6,98.5,0.9,72.3
108,北海道_北空知,f,60,22.8,80.0,97.8,5.8,127.8,76.1,100.9,71.0,124.6,22.4,20.4,29.0,13.5,100.6,0.7,66.7
108,北海道_北空知,f,65,23.0,80.8,97.8,5.8,129.3,75.7,101.9,69.9,123.6,23.8,21.3,26.8,0.0,95.4,0.6,72.2
108,北海道_北空知,f,70,23.2,81.2,98.1,5.8,132.9,74.8,105.5,66.7,119.9,23.9,19.8,25.2,13.1,106.4,0.6,70.9
109,北海道_西胆振,m,40,24.9,85.9,97.5,5.4,124.6,77.9,135.0,56.8,126.5,26.3,35.0,51.8,15.4,96.8,0.9,80.8
109,北海道_西胆振,m,45,25.2,87.1,100.5,5.5,126.6,80.0,142.6,56.5,126.6,26.5,33.8,57.0,15.3,98.1,0.9,77.7
109,北海道_西胆振,m,50,25.0,87.2,103.4,5.6,129.0,81.4,139.4,57.5,125.8,26.6,32.6,58.9,15.2,103.2,0.9,75.8
109,北海道_西胆振,m,55,24.7,86.6,105.3,5.7,131.6,82.4,139.5,58.6,123.1,26.3,29.3,59.8,15.2,112.3,0.9,73.7
109,北海道_西胆振,m,60,24.5,86.6,107.9,5.8,134.0,82.1,136.6,59.0,120.0,26.1,28.1,56.1,14.9,108.1,0.8,74.3
109,北海道_西胆振,m,65,24.3,86.4,108.9,5.8,137.7,81.3,132.4,58.8,117.9,26.3,26.2,51.4,15.8,111.9,0.9,71.2
109,北海道_西胆振,m,70,24.1,86.3,109.6,5.8,138.1,79.1,126.6,59.1,114.0,25.7,24.2,44.8,15.7,112.6,0.9,69.5
109,北海道_西胆振,f,40,22.7,78.1,91.0,5.3,117.7,73.0,78.7,68.9,113.0,19.6,17.8,23.8,12.7,93.9,0.6,86.2
109,北海道_西胆振,f,45,23.2,80.0,92.7,5.4,121.2,74.9,88.0,68.7,119.9,20.7,19.5,26.4,12.9,94.7,0.6,83.7
109,北海道_西胆振,f,50,23.1,80.6,94.4,5.5,124.3,76.4,96.2,71.8,128.2,23.0,21.8,32.4,13.4,98.6,0.6,81.1
109,北海道_西胆振,f,55,22.9,80.8,95.9,5.6,126.9,77.2,99.4,72.3,131.9,23.7,22.5,34.0,13.8,96.9,0.6,78.2
109,北海道_西胆振,f,60,22.9,81.3,97.9,5.6,130.1,77.6,105.4,71.1,132.3,23.9,22.4,33.5,13.8,101.7,0.6,76.2
109,北海道_西胆振,f,65,23.1,82.1,99.0,5.7,134.9,78.1,106.6,69.9,128.0,23.8,21.4,29.5,13.4,101.4,0.6,75.5
109,北海道_西胆振,f,70,23.1,82.0,100.7,5.7,135.6,76.8,110.0,67.9,122.3,24.1,20.7,27.8,13.5,106.3,0.7,67.8
110,北海道_東胆振,m,40,24.7,85.7,97.1,5.5,123.4,77.8,127.4,57.3,127.0,25.7,33.5,48.9,15.4,95.6,0.8,82.3
110,北海道_東胆振,m,45,25.1,86.8,99.5,5.6,126.1,80.4,136.1,57.7,127.4,26.5,33.5,55.1,15.5,100.9,0.9,77.7
110,北海道_東胆振,m,50,25.1,87.3,102.2,5.6,128.4,81.8,137.1,58.2,125.8,26.6,31.4,57.1,15.4,106.1,0.8,77.4
110,北海道_東胆振,m,55,24.8,86.9,105.8,5.7,131.2,82.7,137.6,59.6,123.4,25.9,29.0,56.8,15.3,105.3,0.9,74.1
110,北海道_東胆振,m,60,24.7,87.0,107.1,5.8,133.3,82.1,130.5,59.5,120.0,26.6,27.9,55.3,15.1,105.9,0.9,71.5
110,北海道_東胆振,m,65,24.4,86.7,108.4,5.9,134.5,79.9,131.7,59.4,116.1,26.3,26.0,51.4,15.2,115.4,0.9,70.3
110,北海道_東胆振,m,70,24.3,86.9,108.0,5.9,134.8,77.2,129.3,58.5,113.2,25.3,23.6,44.2,0.0,122.1,0.8,71.4
110,北海道_東胆振,f,40,22.9,78.4,90.3,5.3,117.0,71.7,83.5,69.4,115.0,19.5,17.8,24.4,13.0,97.8,0.6,85.5
110,北海道_東胆振,f,45,23.0,79.2,91.9,5.4,120.6,73.9,88.4,70.4,119.0,20.8,18.7,27.5,12.9,93.5,0.6,81.2
110,北海道_東胆振,f,50,23.2,80.4,93.0,5.5,123.3,75.2,95.0,72.5,127.2,22.1,20.9,30.6,13.5,95.8,0.6,77.5
110,北海道_東胆振,f,55,23.0,81.0,95.8,5.6,125.7,75.7,103.4,72.8,130.6,23.6,22.2,33.6,13.8,99.1,0.6,75.3
110,北海道_東胆振,f,60,22.9,81.2,96.6,5.7,128.2,75.7,105.4,72.6,130.3,24.1,22.5,32.9,13.6,98.4,0.7,75.7
110,北海道_東胆振,f,65,23.1,82.2,98.9,5.7,131.0,75.4,116.4,69.3,125.4,24.3,21.5,30.5,13.4,104.8,0.6,73.1
110,北海道_東胆振,f,70,23.2,82.5,98.9,5.8,132.3,74.1,113.9,67.5,123.4,23.9,19.8,26.0,13.5,106.5,0.7,67.7
111,北海道_日高,m,40,24.8,85.3,96.3,5.5,125.0,78.4,127.0,59.9,128.9,26.8,34.4,52.6,15.3,104.5,0.8,83.3
111,北海道_日高,m,45,25.3,87.0,99.7,5.6,126.2,80.3,131.7,58.9,130.8,26.2,33.4,52.2,15.4,95.6,0.8,79.6
111,北海道_日高,m,50,25.3,87.5,101.8,5.7,128.8,82.1,142.5,59.1,127.5,27.1,32.6,57.3,15.4,107.1,0.9,75.4
111,北海道_日高,m,55,25.2,87.7,104.9,5.8,130.4,81.8,142.2,59.3,123.5,26.2,30.4,53.6,15.4,106.4,1.0,72.2
111,北海道_日高,m,60,24.9,87.0,107.3,5.9,134.3,82.4,133.3,59.4,119.4,26.0,27.4,53.6,15.1,109.7,0.9,70.9
111,北海道_日高,m,65,24.8,86.9,109.4,5.9,136.1,80.1,122.3,61.4,118.2,26.0,26.4,52.8,14.9,112.4,0.9,68.6
111,北海道_日高,m,70,24.7,87.1,108.2,5.9,136.3,77.4,122.8,60.0,111.8,26.6,26.2,44.1,15.7,126.8,0.8,71.9
111,北海道_日高,f,40,23.2,79.2,91.4,5.4,117.9,73.2,85.2,72.0,113.9,20.7,18.6,26.5,13.1,86.0,0.6,85.6
111,北海道_日高,f,45,23.6,80.3,93.5,5.5,120.9,74.2,90.1,70.4,119.4,20.7,18.7,26.3,13.1,93.8,0.6,80.6
111,北海道_日高,f,50,23.6,80.8,95.5,5.6,124.3,76.6,101.3,71.5,130.4,22.5,21.1,32.5,13.7,101.0,0.6,77.8
111,北海道_日高,f,55,23.4,81.1,97.2,5.7,127.8,77.2,101.8,74.0,132.1,24.3,24.1,34.2,13.7,93.4,0.7,74.9
111,北海道_日高,f,60,23.3,81.2,97.8,5.7,128.5,75.4,103.9,73.7,128.5,23.5,21.6,30.9,13.4,102.8,0.7,71.2
111,北海道_日高,f,65,23.5,81.6,98.7,5.7,131.5,75.4,106.3,71.0,124.5,24.8,22.5,29.0,13.9,104.5,0.6,74.3
111,北海道_日高,f,70,23.5,82.2,98.0,5.8,136.4,76.8,106.1,70.7,121.6,25.2,21.5,26.2,12.2,106.9,0.7,66.3
112,北海道_上川中部,m,40,24.5,84.9,96.1,5.5,124.7,77.4,132.7,58.6,126.6,25.4,32.6,49.9,15.1,96.3,0.9,77.4
112,北海道_上川中部,m,45,24.8,85.7,99.3,5.6,126.5,79.7,136.7,58.1,127.9,26.0,32.2,53.7,15.1,97.8,0.9,75.0
112,北海道_上川中部,m,50,24.9,86.6,101.8,5.7,128.4,81.1,138.6,58.7,126.2,25.9,31.0,54.2,15.1,103.6,0.9,73.0
112,北海道_上川中部,m,55,24.7,86.7,104.5,5.8,130.8,81.8,139.0,59.3,123.6,26.3,29.6,56.2,15.1,103.1,0.9,70.3
112,北海道_上川中部,m,60,24.5,86.3,105.8,5.8,133.3,81.3,132.0,60.2,119.2,26.3,27.5,54.1,14.7,110.1,0.9,69.1
112,北海道_上川中部,m,65,24.3,86.3,105.5,5.9,134.8,79.9,127.8,59.6,117.8,25.7,25.5,49.5,14.6,108.9,1.0,67.0
112,北海道_上川中部,m,70,24.0,85.9,104.2,5.9,135.4,77.7,122.7,59.5,114.1,25.9,24.1,43.6,15.7,111.4,0.9,64.7
112,北海道_上川中部,f,40,22.3,77.2,90.3,5.4,116.5,71.4,80.9,70.3,113.3,19.4,17.0,23.3,13.0,92.2,0.7,80.0
112,北海道_上川中部,f,45,22.6,78.3,91.6,5.4,119.8,73.1,84.7,71.1,117.3,19.9,17.7,25.4,12.6,94.6,0.6,78.2
112,北海道_上川中部,f,50,22.9,79.8,93.6,5.5,123.9,75.4,96.0,72.7,127.3,22.2,20.6,30.5,13.4,94.1,0.7,74.7
112,北海道_上川中部,f,55,22.6,79.8,95.3,5.6,125.0,75.5,99.7,73.5,131.0,23.4,21.8,32.5,13.5,97.1,0.7,72.6
112,北海道_上川中部,f,60,22.6,80.3,95.4,5.7,127.8,75.6,102.7,72.2,128.3,23.6,21.2,30.9,13.5,97.5,0.7,69.1
112,北海道_上川中部,f,65,22.8,81.1,95.3,5.7,130.3,75.2,104.9,70.7,126.3,24.1,20.9,28.9,13.3,98.4,0.7,66.8
112,北海道_上川中部,f,70,23.0,81.6,96.4,5.8,132.6,75.0,106.8,68.3,122.0,24.2,20.4,27.6,12.3,102.5,0.7,67.2
113,北海道_上川北部,m,40,25.2,85.6,97.4,5.6,126.3,79.5,138.1,57.3,128.6,25.9,33.6,52.7,15.2,93.8,0.9,77.0
113,北海道_上川北部,m,45,24.8,85.0,98.1,5.6,126.3,80.3,138.1,59.4,127.8,25.8,31.7,53.6,15.1,97.3,0.9,75.1
113,北海道_上川北部,m,50,25.4,87.0,103.4,5.8,128.5,81.9,144.1,58.0,125.9,25.7,30.6,55.4,15.0,109.1,0.9,73.0
113,北海道_上川北部,m,55,24.9,86.1,104.9,5.8,129.9,81.5,134.0,60.2,121.8,25.2,28.1,53.4,14.8,102.9,0.9,70.9
113,北海道_上川北部,m,60,24.8,86.2,104.5,5.9,132.5,82.0,136.8,60.9,118.5,26.6,28.0,52.5,14.9,108.2,0.9,69.1
113,北海道_上川北部,m,65,24.7,86.7,107.0,5.9,133.8,79.9,130.7,58.5,115.7,25.6,26.2,46.0,14.8,112.0,0.9,70.0
113,北海道_上川北部,m,70,24.4,86.5,106.0,6.0,133.5,77.7,120.2,58.3,111.7,26.6,24.2,41.3,12.9,129.1,0.8,71.1
113,北海道_上川北部,f,40,23.0,78.0,90.7,5.4,117.6,73.1,80.1,70.2,114.3,18.8,17.0,23.4,13.0,101.9,0.6,81.4
113,北海道_上川北部,f,45,23.2,78.5,93.7,5.5,121.1,75.3,90.3,71.0,120.2,19.7,18.2,25.2,12.8,103.6,0.7,77.3
